prolific_id,participant_id,trial_type,trial_index,image_shown,image_category,feed_duration_seconds,post_dwell_seconds,feed_source,like_state,share_state,image_index,scroll_to_bottom,political_affiliation,condition,consented,blame_prescriptive,praise_prescriptive,emotion_prescriptive,poli_prescriptive,blame_descriptive,praise_descriptive,emotion_descriptive,political_descriptive,blame_prescriptive_ownNetwork,praise_prescriptive_ownNetwork,emotion_prescriptive_ownNetwork,poli_prescriptive_ownNetwork,blame_descriptive_ownNetwork,praise_descriptive_ownNetwork,emotion_descriptive_ownNetwork,political_descriptive_ownNetwork,gender,age,language,education,employment,party,party_lean,political_ideology,political_follow,rep_id,dem_id,sm_use,sm_use_slider,sm_use_poli,sm_use_poli_slider,sm_post_poli,sm_post_poli_slider,share_why
TEST999,3,instructions,,,,,,,,,,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,html-button-response,1,,,,,,,,,,republican,algorithmic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,survey-html-form,2,,,,,,,,,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,
TEST999,3,call-function,3,,,,,,,,,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,instructions,4,,,,,,,,,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide65.png,dem_ingroup_praise,,8.2341,,,,1,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide66.png,dem_outgroup_blame,,15.1424,,,,2,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide31.png,dem_ingroup_praise,,7.8999,,,,3,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide56.png,rep_outgroup_blame,,1.8838,,,,4,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide5.png,dem_ingroup_praise,,3.3105,,,,5,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide76.png,neutral_political,,3.3,,,,6,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide58.png,rep_outgroup_blame,,5.4416,,,,7,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide36.png,dem_outgroup_blame,,6.2416,,,,8,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide88.png,rep_outgroup_blame,,5.4989,,true,,9,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide86.png,rep_outgroup_blame,,5.9794,,true,,10,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide96.png,dem_outgroup_blame,,4.5627,,,,11,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide52.png,rep_ingroup_praise,,3.9166,,true,,12,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST999,3,social-media-feed,5,Slide50.png,neutral_political,,6.1283,,,,13,,republican,algorithmic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
